THUM_GEOGRAFI,SUG_DEREH,HODESH_TEUNA,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,HUMRAT_TEUNA,SUG_TEUNA,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,MEZEG_AVIR,PNE_KVISH
1,2,2,69,4,1,6,3,4,3,0,1,1,3,3,1,1,1
1,4,12,72,4,5,4,3,4,0,2,4,1,4,3,3,1,1
1,2,1,43,4,1,2,3,1,1,0,1,1,2,3,1,2,2
1,1,4,57,3,1,4,3,2,1,0,1,1,2,1,1,9,1
1,1,12,82,4,5,2,3,2,9,0,0,0,0,5,6,9,9
1,1,9,84,4,5,2,2,1,0,3,1,1,2,3,3,1,1
2,4,8,31,4,1,1,3,4,0,2,4,1,3,3,1,1,1
2,4,9,57,4,1,6,2,3,0,2,5,1,4,3,1,1,1
1,2,6,46,4,1,5,3,5,9,0,0,0,0,5,11,9,9
1,4,11,11,4,5,7,3,3,3,0,3,1,3,3,3,1,1
1,1,7,52,4,1,6,3,3,0,3,1,1,3,3,1,3,1
1,4,2,47,4,1,6,3,2,0,2,5,1,3,4,1,1,1
1,2,12,77,4,5,1,3,2,3,0,1,1,4,3,3,1,1
1,1,1,81,4,5,3,3,2,3,0,1,1,3,3,3,1,2
1,4,8,70,4,1,7,3,8,0,2,5,1,4,3,1,1,1
1,3,2,36,4,1,1,3,3,1,0,4,1,3,3,1,2,2
1,4,11,79,4,5,7,3,3,2,0,4,1,4,3,5,1,1
1,2,8,38,4,1,1,3,11,1,0,1,1,1,3,1,1,9
1,3,6,57,4,1,1,3,11,0,1,1,1,0,3,1,1,1
1,2,6,1,4,5,2,3,2,0,3,1,1,4,3,3,1,1
1,4,4,61,4,1,4,2,2,0,4,5,1,3,3,1,1,1
1,2,2,83,4,5,3,3,1,0,3,1,1,2,3,3,1,1
1,3,8,86,4,5,3,2,2,2,0,4,1,4,3,3,1,1
